	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	3
PWY-8062	Yes	No	3	1
PWY-5436	Yes	Yes	2	1
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	Yes	9	3
PWY-8324	Yes	No	3	1
ARGDEGRAD-PWY	Yes	Yes	1	1
PWY-1781	Yes	Yes	2	1
PWY-7227	Yes	Yes	2	2
PWY-6890	Yes	Yes	2	1
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	4
MANNIDEG-PWY	Yes	Yes	1	1
GLYCOGENSYNTH-PWY	Yes	No	4	1
PWY-6637	Yes	No	4	1
CYANCAT-PWY	Yes	Yes	1	1
ANAPHENOXI-PWY	Yes	Yes	3	1
P3-PWY	Yes	No	11	2
PWY-6121	Yes	Yes	5	5
PWY-922	Yes	Yes	7	5
PWY-6952	Yes	Yes	2	2
PWY-2301	Yes	Yes	2	1
PWY-6823	Yes	Yes	6	3
RIBOKIN-PWY	Yes	Yes	2	2
PWY-7290	Yes	No	8	1
PWY-5686	Yes	Yes	6	6
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	Yes	4	3
PWY0-1312	Yes	Yes	2	1
PWY-6538	Yes	No	5	1
PWY1YI0-3	Yes	No	3	1
PWY-5971	Yes	Yes	9	5
PWY-5074	Yes	Yes	2	1
PWY-7308	Yes	Yes	2	1
P221-PWY	Yes	No	5	1
PWY-6910	Yes	Yes	2	2
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-7385	Yes	No	9	4
P142-PWY	Yes	Yes	1	1
PWY-8187	Yes	Yes	4	3
PWY-6902	Yes	Yes	4	2
PWY-7586	Yes	Yes	3	2
PWY-8595	Yes	Yes	6	3
FERMENTATION-PWY	Yes	No	16	7
ARG-GLU-PWY	Yes	Yes	2	1
PWY-6638	Yes	No	4	1
PWY-6587	Yes	Yes	3	3
PWY-8204	Yes	No	3	1
PWY-6983	Yes	No	3	1
PWY-7663	Yes	Yes	4	4
TOLUENE-DEG-DIOL-PWY	Yes	No	4	1
PWY-7821	Yes	No	9	1
PWY-2942	Yes	Yes	7	5
PWY-6151	Yes	Yes	4	4
PWY-622	Yes	No	7	2
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	Yes	5	4
PWY-7818	Yes	Yes	9	2
PWY-5384	Yes	Yes	4	3
PWY-7664	Yes	Yes	6	4
CODH-PWY	Yes	No	12	3
PWY-7013	Yes	Yes	5	3
DARABITOLUTIL-PWY	Yes	Yes	2	1
PWY-5891	Yes	Yes	2	1
PWY-7440	Yes	No	6	2
GLUTDEG-PWY	Yes	Yes	2	1
PWY-5530	Yes	No	3	1
PWY-7514	Yes	No	3	1
PWY-7181	Yes	Yes	3	1
PWY-5886	Yes	Yes	1	1
PWY-7205	Yes	Yes	2	1
PHESYN	Yes	No	3	1
BETSYN-PWY	Yes	Yes	2	1
PWY-5921	Yes	Yes	3	1
PWY-5661	Yes	Yes	3	2
PWY-8221	Yes	No	5	1
SERSYN-PWY	Yes	Yes	3	2
PWY2S1Y-3	Yes	Yes	2	2
PWY-7193	Yes	Yes	3	2
PWY-6627	Yes	No	9	1
PWY-7905	Yes	No	7	1
PWY-8536	Yes	Yes	1	1
PWY-8430	Yes	No	3	1
PWY-6707	Yes	Yes	1	1
GLYCOLATEMET-PWY	Yes	No	4	1
PWY-8457	Yes	Yes	3	2
PWY0-1535	Yes	Yes	1	1
PWY-5890	Yes	Yes	2	1
PWY-1281	Yes	Yes	2	1
PWY-8058	Yes	Yes	8	2
PWY-8425	Yes	No	4	1
PWY0-901	Yes	Yes	3	3
PWY-7221	Yes	Yes	4	4
PWY-6336	Yes	No	4	1
PWY-8585	Yes	No	4	1
PWY8J2-29	Yes	Yes	3	2
PWY-6969	Yes	No	9	1
PWY-7814	Yes	Yes	6	3
P23-PWY	Yes	No	9	3
ARABCAT-PWY	Yes	No	3	1
PWY-5386	Yes	Yes	3	2
PWY-7180	Yes	Yes	3	3
GLUTSYNIII-PWY	Yes	Yes	1	1
PWY0-1336	Yes	Yes	2	1
PWY-7401	Yes	No	12	1
PWY-6961	Yes	Yes	5	3
PWY-6953	Yes	No	5	2
PWY-5108	Yes	Yes	3	2
NADPHOS-DEPHOS-PWY	Yes	No	3	1
PWY-6973	Yes	No	5	2
PWY-6907	Yes	Yes	3	3
PWY-7218	Yes	Yes	4	3
PWY-5523	Yes	No	3	1
PWY-7184	Yes	Yes	9	5
P183-PWY	Yes	Yes	2	1
PWY-5154	Yes	No	9	1
PWY-7948	Yes	No	6	1
PWY-7686	Yes	Yes	1	1
TCA	Yes	No	10	1
PWY-8561	Yes	No	3	1
THIOREDOX-PWY	Yes	Yes	2	1
PWY-5741	Yes	No	11	1
UDPNAGSYN-PWY	Yes	Yes	5	5
PWY-3161	Yes	Yes	2	1
PWY-7222	Yes	Yes	3	3
PWY-6605	Yes	Yes	2	1
PWY4FS-7	Yes	Yes	2	1
PWY-6559	Yes	Yes	4	2
PWY-6502	Yes	Yes	1	1
PWY-8231	Yes	No	8	1
PWY-8171	Yes	Yes	3	1
PWY-5641	Yes	No	3	1
PWY-8271	Yes	Yes	4	1
PWY-6986	Yes	No	7	1
PWY-7977	Yes	Yes	4	2
PWY0-1586	Yes	No	4	1
PWY-5645	Yes	No	7	1
SORBDEG-PWY	Yes	Yes	1	1
PWY-5989	Yes	Yes	6	3
PWY-7194	Yes	Yes	1	1
PWY0-1337	Yes	No	13	1
PWY-8217	Yes	No	6	1
PWY-5853	Yes	Yes	1	1
PWY-8175	Yes	Yes	11	6
PWY-6696	Yes	No	5	1
PWY-7274	Yes	No	6	1
PWY-5481	Yes	Yes	1	1
PWY-7176	Yes	Yes	3	3
SUCSYN-PWY	Yes	Yes	7	5
PWY-6974	Yes	No	5	2
GLUCARDEG-PWY	Yes	No	4	1
PWY-7587	Yes	Yes	3	2
PWY-5743	Yes	No	13	3
P162-PWY	Yes	No	10	1
PWY-8106	Yes	Yes	5	3
P163-PWY	Yes	No	10	3
MALTOSECAT-PWY	Yes	Yes	2	2
PWY-5807	Yes	Yes	1	1
PWY-5162	Yes	No	3	1
